Date,Adj Close,Close,High,Low,Open,Volume
1994-05-04,118.96743774414062,119.0250015258789,121.34500122070312,118.93499755859375,120.45500183105469,0
1994-05-05,118.21279907226562,118.2699966430664,120.1050033569336,118.03500366210938,119.0250015258789,0
1994-05-06,117.63807678222656,117.69499969482422,118.2699966430664,115.48999786376953,118.2699966430664,0
1994-05-09,115.55408477783203,115.61000061035156,118.36000061035156,115.5199966430664,117.69499969482422,0
1994-05-10,117.3832015991211,117.44000244140625,117.7750015258789,115.61000061035156,115.61000061035156,0
1994-05-11,115.28921508789062,115.34500122070312,118.5199966430664,115.05000305175781,117.44000244140625,0
1994-05-12,114.85942077636719,114.91500091552734,117.23500061035156,114.73999786376953,115.34500122070312,0
1994-05-13,113.53006744384766,113.58499908447266,115.0199966430664,111.47000122070312,114.91500091552734,0
1994-05-16,111.18120574951172,111.23500061035156,113.61499786376953,111.17500305175781,113.58499908447266,0
1994-05-17,110.70643615722656,110.76000213623047,111.47000122070312,106.91999816894531,111.23500061035156,0
1994-05-18,115.6590347290039,115.71499633789062,116.83499908447266,110.76000213623047,110.76000213623047,0
1994-05-19,118.95244598388672,119.01000213623047,119.54000091552734,115.71499633789062,115.71499633789062,0
1994-05-20,118.5526351928711,118.61000061035156,119.06999969482422,117.68000030517578,119.01000213623047,0
1994-05-23,117.82798767089844,117.88500213623047,119.30500030517578,117.52999877929688,118.61000061035156,0
1994-05-24,119.04239654541016,119.0999984741211,119.67500305175781,117.82499694824219,117.88500213623047,0
1994-05-25,119.02740478515625,119.08499908447266,119.56999969482422,117.73999786376953,119.0999984741211,0
1994-05-26,117.85797119140625,117.91500091552734,119.86499786376953,117.44000244140625,119.08499908447266,0
1994-05-27,118.36272430419922,118.41999816894531,118.50499725341797,116.87999725341797,117.91500091552734,0
1994-05-31,121.71611022949219,121.7750015258789,121.93499755859375,117.47000122070312,118.41999816894531,0
1994-06-01,128.18296813964844,128.2449951171875,128.5,121.28500366210938,121.7750015258789,0
1994-06-02,128.24293518066406,128.30499267578125,129.77499389648438,128.05499267578125,128.2449951171875,0
1994-06-03,126.89859771728516,126.95999908447266,129.8699951171875,126.7249984741211,128.30499267578125,0
1994-06-06,126.1889419555664,126.25,127.90499877929688,126.04499816894531,126.95999908447266,0
1994-06-07,123.08544158935547,123.1449966430664,126.63500213623047,123.02999877929688,126.25,0
1994-06-08,117.65306854248047,117.70999908447266,123.20500183105469,116.16999816894531,123.1449966430664,0
1994-06-09,115.55408477783203,115.61000061035156,118.36000061035156,114.75,117.70999908447266,0
1994-06-10,118.77252960205078,118.83000183105469,119.36499786376953,115.61000061035156,115.61000061035156,0
1994-06-13,118.43269348144531,118.48999786376953,120.78500366210938,118.33000183105469,118.83000183105469,0
1994-06-14,121.70111846923828,121.76000213623047,122.46499633789062,118.48999786376953,118.48999786376953,0
1994-06-15,122.05593872070312,122.11499786376953,124.05500030517578,121.76000213623047,121.76000213623047,0
1994-06-16,121.77108001708984,121.83000183105469,122.81999969482422,121.375,122.11499786376953,0
1994-06-17,119.49717712402344,119.55500030517578,121.86000061035156,119.15499877929688,121.86000061035156,0
1994-06-20,117.1333236694336,117.19000244140625,119.55500030517578,116.97000122070312,119.55500030517578,0
1994-06-21,114.60954284667969,114.66500091552734,115.96499633789062,113.54000091552734,115.81500244140625,0
1994-06-22,117.79800415039062,117.8550033569336,118.50499725341797,114.66500091552734,114.66500091552734,0
1994-06-23,113.92987060546875,113.98500061035156,118.83000183105469,113.94000244140625,117.8550033569336,0
1994-06-24,114.11978149414062,114.17500305175781,116.0250015258789,112.71499633789062,113.98500061035156,0
1994-06-27,118.10784912109375,118.16500091552734,118.19499969482422,113.3949966430664,114.17500305175781,0
1994-06-28,120.48670196533203,120.54499816894531,120.73999786376953,117.8550033569336,118.16500091552734,0
1994-06-29,120.90149688720703,120.95999908447266,122.04000091552734,120.33999633789062,120.54499816894531,0
1994-06-30,119.40721893310547,119.46499633789062,121.66999816894531,119.04000091552734,120.95999908447266,0
1994-07-01,120.0718994140625,120.12999725341797,120.12999725341797,118.45999908447266,119.46499633789062,0
1994-07-05,119.86700439453125,119.92500305175781,120.83999633789062,119.77999877929688,120.12999725341797,0
1994-07-06,118.93745422363281,118.99500274658203,119.92500305175781,118.1500015258789,119.92500305175781,0
1994-07-07,123.40528106689453,123.46499633789062,123.46499633789062,118.99500274658203,118.99500274658203,0
1994-07-08,125.5692367553711,125.62999725341797,126.7249984741211,122.44000244140625,123.46499633789062,0
1994-07-11,125.62421417236328,125.68499755859375,126.66500091552734,124.18000030517578,125.62999725341797,0
1994-07-12,127.45832061767578,127.5199966430664,127.55000305175781,123.82499694824219,125.68499755859375,0
1994-07-13,130.44686889648438,130.50999450683594,131.3350067138672,127.5199966430664,127.5199966430664,0
1994-07-14,130.25198364257812,130.31500244140625,132.99000549316406,129.74000549316406,130.50999450683594,0
1994-07-15,124.5197525024414,124.58000183105469,130.4199981689453,124.1500015258789,130.31500244140625,0
1994-07-18,124.03498840332031,124.09500122070312,125.45500183105469,123.30999755859375,124.58000183105469,0
1994-07-19,121.076416015625,121.13500213623047,124.09500122070312,120.98999786376953,124.09500122070312,0
1994-07-20,118.5526351928711,118.61000061035156,121.20999908447266,117.9000015258789,121.13500213623047,0
1994-07-21,118.53264617919922,118.58999633789062,118.61000061035156,115.36000061035156,118.61000061035156,0
1994-07-22,119.9869384765625,120.04499816894531,120.16000366210938,118.58999633789062,118.58999633789062,0
1994-07-25,119.02740478515625,119.08499908447266,120.45500183105469,118.50499725341797,120.04499816894531,0
1994-07-26,118.22779846191406,118.28500366210938,119.46499633789062,117.91500091552734,119.08499908447266,0
1994-07-27,116.82347106933594,116.87999725341797,118.40499877929688,116.54000091552734,118.28500366210938,0
