Date,Adj Close,Close,High,Low,Open,Volume
2013-05-24,574.0599975585938,574.0599975585938,574.0700073242188,569.4199829101562,572.260009765625,449900
2013-05-27,577.5599975585938,577.5599975585938,577.780029296875,575.3599853515625,575.97998046875,409400
2013-05-28,585.760009765625,585.760009765625,585.760009765625,579.5999755859375,579.8699951171875,505000
2013-05-29,585.6900024414062,585.6900024414062,588.5399780273438,585.6900024414062,588.3900146484375,480800
2013-05-30,581.1300048828125,581.1300048828125,587.8900146484375,580.239990234375,586.6699829101562,455500
2013-05-31,577.8699951171875,577.8699951171875,583.8099975585938,571.6099853515625,583.1400146484375,487600
2013-06-03,569.4099731445312,569.4099731445312,578.3099975585938,569.4000244140625,576.22998046875,410500
2013-06-04,561.5499877929688,561.5499877929688,571.72998046875,558.75,571.010009765625,539200
2013-06-05,549.0900268554688,549.0900268554688,560.5599975585938,549.0900268554688,560.3800048828125,463800
2013-06-07,535.75,535.75,551.5700073242188,531.030029296875,550.3400268554688,446000
2013-06-10,547.0,547.0,547.7999877929688,537.9400024414062,538.489990234375,546100
2013-06-11,547.8699951171875,547.8699951171875,548.02001953125,543.3599853515625,547.4500122070312,743200
2013-06-12,546.2000122070312,546.2000122070312,550.97998046875,545.25,545.3400268554688,471000
2013-06-13,540.8200073242188,540.8200073242188,547.3800048828125,536.0,545.2000122070312,558000
2013-06-14,536.0399780273438,536.0399780273438,546.5499877929688,534.3099975585938,545.97998046875,486100
2013-06-17,524.5,524.5,539.0999755859375,519.4099731445312,537.6099853515625,427800
2013-06-18,534.260009765625,534.260009765625,534.27001953125,519.8099975585938,526.9299926757812,394400
2013-06-19,531.4099731445312,531.4099731445312,537.1900024414062,531.2999877929688,536.510009765625,396700
2013-06-20,525.5900268554688,525.5900268554688,531.9600219726562,521.02001953125,524.8800048828125,445100
2013-06-21,520.8900146484375,520.8900146484375,520.8900146484375,507.29998779296875,513.5800170898438,418300
2013-06-24,508.6499938964844,508.6499938964844,523.5900268554688,508.6499938964844,523.5,379900
2013-06-25,480.9599914550781,480.9599914550781,508.760009765625,478.67999267578125,505.2799987792969,539000
2013-06-26,493.07000732421875,493.07000732421875,495.0199890136719,482.3599853515625,490.45001220703125,382800
2013-06-27,512.25,512.25,512.25,501.010009765625,501.05999755859375,404500
2013-06-28,519.0599975585938,519.0599975585938,519.6500244140625,514.6300048828125,516.6300048828125,373700
2013-07-01,527.8099975585938,527.8099975585938,528.6799926757812,522.4000244140625,522.510009765625,323100
2013-07-02,526.9199829101562,526.9199829101562,532.3800048828125,525.280029296875,531.989990234375,345200
2013-07-03,521.3099975585938,521.3099975585938,530.9400024414062,521.0499877929688,528.010009765625,383100
2013-07-04,525.219970703125,525.219970703125,526.4500122070312,517.510009765625,524.47998046875,384100
2013-07-05,525.4000244140625,525.4000244140625,529.75,522.77001953125,528.0399780273438,422900
2013-07-08,515.8499755859375,515.8499755859375,528.5,515.8499755859375,526.47998046875,331000
2013-07-09,519.3400268554688,519.3400268554688,519.9299926757812,513.8400268554688,519.0800170898438,425600
2013-07-10,515.6400146484375,515.6400146484375,521.8800048828125,515.6400146484375,521.4099731445312,422800
2013-07-11,527.25,527.25,527.260009765625,520.0399780273438,520.0399780273438,368600
2013-07-12,532.469970703125,532.469970703125,532.47998046875,528.22998046875,530.3699951171875,398800
2013-07-15,531.6699829101562,531.6699829101562,535.1300048828125,529.27001953125,534.22998046875,367000
2013-07-16,537.719970703125,537.719970703125,537.719970703125,533.3599853515625,533.77001953125,339800
2013-07-17,541.8200073242188,541.8200073242188,543.280029296875,537.9199829101562,539.0800170898438,326300
2013-07-18,541.5599975585938,541.5599975585938,544.2999877929688,541.5599975585938,544.02001953125,327800
2013-07-19,541.8699951171875,541.8699951171875,546.0800170898438,540.3200073242188,545.4299926757812,316500
